match_id,timestamp,player_id,player_name,position_raw,position_group,minutes_played,composite_zscore,form_velocity,assists,ball_control_phases,chances,clean_sheets,crosses_from_play_successful,defensive_clearances,fouls_against_opponent,goalkeeper_saves,goals,goals_conceded,passes_conversion_rate,shots_on_target,xG
761459,2026-03-07T00:32:03.263997+00:00,245570,Hassani Dotson,LM,CM,65.0,0.1495,,0.0,64.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.84,0.0,0.0
761459,2026-03-07T00:32:03.263997+00:00,216617,Cristian Roldan,RM,CM,90.0,0.3079,,0.0,124.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.82,1.0,0.7267
761459,2026-03-07T00:32:03.263997+00:00,301856,Osaze De Rosario,F,FW,65.0,-1.508,,0.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.61,0.0,0.0748
761459,2026-03-07T00:32:03.263997+00:00,254382,Paul Rothrock,AM-L,FW,90.0,-1.1749,,0.0,94.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.71,1.0,0.2394
761459,2026-03-07T00:32:03.263997+00:00,251571,Jesús Ferreira,AM-R,FW,65.0,-1.5105,,0.0,67.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.81,0.0,0.0696
761459,2026-03-07T00:32:03.263997+00:00,131979,Stefan Frei,SUB,CM,0.0,,,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,
761459,2026-03-07T00:32:03.263997+00:00,299188,Antino Lopez,SUB,CM,0.0,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,
761459,2026-03-07T00:32:03.263997+00:00,319045,Kalani Kossa-Rienzi,AM-L,FW,30.0,-1.5443,,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0
761459,2026-03-07T00:32:03.263997+00:00,399948,Sebastian Gomez,SUB,CM,0.0,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,
761459,2026-03-07T00:32:03.263997+00:00,384356,Snyder Brunell,CDM,DM,30.0,-0.8177,,0.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,0.0832
761459,2026-03-07T00:32:03.263997+00:00,256450,Daniel Musovski,ST,FW,30.0,-1.1394,,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.1499
761459,2026-03-07T00:32:03.263997+00:00,159491,Paul Arriola,AM-R,FW,30.0,-1.5443,,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
761459,2026-03-07T00:32:03.263997+00:00,322064,Nikola Petkovic,CB,CB,30.0,-3.8843,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0
761459,2026-03-07T00:32:03.263997+00:00,318520,Cody Baker,SUB,CM,0.0,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,
